Severity,Site Name,Source System,Life Span (minutes),Alarm Name,First Time Detected,Last Time Cleared,Alarmed Object Name,Last Time Detected,Alarmed Object Type,Alarmed Object Source System,Alarm Type,Probable Cause,Specific Problem,Is Service Affecting,Alarm ID,Previous Severity,Number Of Occurrences,Additional Text
cleared,P_64_A_043,fdn:realm:optics,6432,Unavailable Seconds,2024/11/28 05:30:14 000 +05:30 GMT,2024/12/02 16:41:53 000 +05:30 GMT,"P_64_A_043/STM16-1-1-5-13,STM16,NEND,RCV,1-DAY",2024/12/01 05:30:14 000 +05:30 GMT,TP,,QUALITY OF SERVICE,T-UAS-RS-1-DAY,Unavailable Seconds,0.0,fdn:model:fm:HistoricalAlarm:491123474,warning,3,Unavailable Seconds:STM16-1-1-5-13:NULL:OC48_STS48_MS_STM16:NULL
cleared,P_64_A_043,fdn:realm:optics,4992,TCA 1 DAY Unavailable Seconds,2024/11/29 05:30:14 000 +05:30 GMT,2024/12/02 16:41:53 000 +05:30 GMT,"P_64_A_043/OTU-1-1-3-1,OTU4,FEND,RCV,1-DAY",2024/12/01 05:30:12 000 +05:30 GMT,TP,,QUALITY OF SERVICE,T-UAS-OTU-1-DAY,TCA 1 DAY Unavailable Seconds,0.0,fdn:model:fm:HistoricalAlarm:491123458,warning,2,TCA 1 DAY Unavailable Seconds:OCH-1-1-3-1:/otu4=1:OTU4:NULL
cleared,P_64_A_043,fdn:realm:optics,4992,TCA 1 DAY Unavailable Seconds,2024/11/29 05:30:14 000 +05:30 GMT,2024/12/02 16:41:53 000 +05:30 GMT,"P_64_A_043/OTU-1-1-33-1,OTU4,FEND,RCV,1-DAY",2024/12/01 05:30:12 000 +05:30 GMT,TP,,QUALITY OF SERVICE,T-UAS-OTU-1-DAY,TCA 1 DAY Unavailable Seconds,0.0,fdn:model:fm:HistoricalAlarm:491123421,warning,3,TCA 1 DAY Unavailable Seconds:OCH-1-1-33-1:/otu4=1:OTU4:NULL
cleared,P_64_A_043,fdn:realm:optics,4992,Unavailable Seconds,2024/11/29 05:30:14 000 +05:30 GMT,2024/12/02 16:41:53 000 +05:30 GMT,"P_64_A_043/STM16-1-1-46-18,STM16,NEND,RCV,1-DAY",2024/12/01 05:30:16 000 +05:30 GMT,TP,,QUALITY OF SERVICE,T-UAS-RS-1-DAY,Unavailable Seconds,0.0,fdn:model:fm:HistoricalAlarm:491123418,warning,2,Unavailable Seconds:STM16-1-1-46-18:NULL:OC48_STS48_MS_STM16:NULL
cleared,P_64_A_043,fdn:realm:optics,4992,Unavailable Seconds,2024/11/29 05:30:14 000 +05:30 GMT,2024/12/02 16:41:53 000 +05:30 GMT,"P_64_A_043/STM16-1-1-46-7,STM16,NEND,RCV,1-DAY",2024/12/01 05:30:16 000 +05:30 GMT,TP,,QUALITY OF SERVICE,T-UAS-RS-1-DAY,Unavailable Seconds,0.0,fdn:model:fm:HistoricalAlarm:491123395,warning,2,Unavailable Seconds:STM16-1-1-46-7:NULL:OC48_STS48_MS_STM16:NULL
cleared,P_64_A_043,fdn:realm:optics,4992,TCA 1 DAY Unavailable Seconds,2024/11/29 05:30:08 000 +05:30 GMT,2024/12/02 16:41:53 000 +05:30 GMT,"P_64_A_043/ODU2-1-2-3-2,ODU2,NEND,RCV,1-DAY",2024/12/01 05:30:08 000 +05:30 GMT,TP,,QUALITY OF SERVICE,T-UAS-ODU-1-DAY,TCA 1 DAY Unavailable Seconds,0.0,fdn:model:fm:HistoricalAlarm:491123392,warning,3,TCA 1 DAY Unavailable Seconds:ODU2-1-2-3-2:NULL:ODU2:NULL
cleared,P_64_A_043,fdn:realm:optics,4992,Unavailable Seconds,2024/11/29 05:30:14 000 +05:30 GMT,2024/12/02 16:41:53 000 +05:30 GMT,"P_64_A_043/STM64-1-1-7-9,STM64,NEND,RCV,1-DAY",2024/12/01 05:30:16 000 +05:30 GMT,TP,,QUALITY OF SERVICE,T-UAS-RS-1-DAY,Unavailable Seconds,0.0,fdn:model:fm:HistoricalAlarm:491123367,warning,2,Unavailable Seconds:STM64-1-1-7-9:NULL:OC192_STS192_MS_STM64:NULL
cleared,P_64_A_043,fdn:realm:optics,4992,Unavailable Seconds,2024/11/29 05:30:14 000 +05:30 GMT,2024/12/02 16:41:53 000 +05:30 GMT,"P_64_A_043/STM16-1-1-36-23,STM16,NEND,RCV,1-DAY",2024/12/01 05:30:16 000 +05:30 GMT,TP,,QUALITY OF SERVICE,T-UAS-RS-1-DAY,Unavailable Seconds,0.0,fdn:model:fm:HistoricalAlarm:491123355,warning,2,Unavailable Seconds:STM16-1-1-36-23:NULL:OC48_STS48_MS_STM16:NULL
cleared,P_64_A_043,fdn:realm:optics,9312,TCA 1 DAY Unavailable Seconds,2024/11/26 05:30:08 000 +05:30 GMT,2024/12/02 16:41:53 000 +05:30 GMT,"P_64_A_043/ODU4ODU0-1-2-72-1201-2,ODU0,NEND,RCV,1-DAY",2024/12/01 05:30:08 000 +05:30 GMT,TP,,QUALITY OF SERVICE,T-UAS-ODU-1-DAY,TCA 1 DAY Unavailable Seconds,0.0,fdn:model:fm:HistoricalAlarm:491123327,warning,2,TCA 1 DAY Unavailable Seconds:ODU4-1-2-72-1201:/odu0=2:ODU0:NULL
cleared,P_64_A_043,fdn:realm:optics,4992,Unavailable Seconds,2024/11/29 05:30:14 000 +05:30 GMT,2024/12/02 16:41:53 000 +05:30 GMT,"P_64_A_043/STM16-1-1-40-21,STM16,NEND,RCV,1-DAY",2024/12/01 05:30:16 000 +05:30 GMT,TP,,QUALITY OF SERVICE,T-UAS-RS-1-DAY,Unavailable Seconds,0.0,fdn:model:fm:HistoricalAlarm:491123289,warning,2,Unavailable Seconds:STM16-1-1-40-21:NULL:OC48_STS48_MS_STM16:NULL
cleared,P_64_A_043,fdn:realm:optics,4992,Unavailable Seconds,2024/11/29 05:30:14 000 +05:30 GMT,2024/12/02 16:41:53 000 +05:30 GMT,"P_64_A_043/STM16-1-1-46-3,STM16,NEND,RCV,1-DAY",2024/12/01 05:30:16 000 +05:30 GMT,TP,,QUALITY OF SERVICE,T-UAS-RS-1-DAY,Unavailable Seconds,0.0,fdn:model:fm:HistoricalAlarm:491123283,warning,2,Unavailable Seconds:STM16-1-1-46-3:NULL:OC48_STS48_MS_STM16:NULL
cleared,P_64_A_043,fdn:realm:optics,4992,Unavailable Seconds 1 DAY ,2024/11/29 05:30:08 000 +05:30 GMT,2024/12/02 16:41:53 000 +05:30 GMT,"P_64_A_043/OTUODU4TCT-1-2-42-1-6-BM,ODU4TCM,FEND,RCV,1-DAY",2024/12/01 05:30:08 000 +05:30 GMT,TP,,QUALITY OF SERVICE,T-UAS-TCM-1-DAY,Unavailable Seconds 1 DAY ,0.0,fdn:model:fm:HistoricalAlarm:491123272,warning,3,Unavailable Seconds 1 DAY :OCH-1-2-42-1:/odu4=1:ODU4:NULL
cleared,P_64_A_043,fdn:realm:optics,4992,Unavailable Seconds 1 DAY ,2024/11/29 05:30:08 000 +05:30 GMT,2024/12/02 16:41:53 000 +05:30 GMT,"P_64_A_043/OTUODU4TCT-1-2-40-1-6-BM,ODU4TCM,FEND,RCV,1-DAY",2024/12/01 05:30:08 000 +05:30 GMT,TP,,QUALITY OF SERVICE,T-UAS-TCM-1-DAY,Unavailable Seconds 1 DAY ,0.0,fdn:model:fm:HistoricalAlarm:491123271,warning,3,Unavailable Seconds 1 DAY :OCH-1-2-40-1:/odu4=1:ODU4:NULL
cleared,P_64_A_043,fdn:realm:optics,4992,Unavailable Seconds 1 DAY ,2024/11/29 05:30:08 000 +05:30 GMT,2024/12/02 16:41:53 000 +05:30 GMT,"P_64_A_043/OTUODU4TCT-1-2-38-1-6-BM,ODU4TCM,FEND,RCV,1-DAY",2024/12/01 05:30:08 000 +05:30 GMT,TP,,QUALITY OF SERVICE,T-UAS-TCM-1-DAY,Unavailable Seconds 1 DAY ,0.0,fdn:model:fm:HistoricalAlarm:491123252,warning,3,Unavailable Seconds 1 DAY :OCH-1-2-38-1:/odu4=1:ODU4:NULL
cleared,P_64_A_043,fdn:realm:optics,6432,Unavailable Seconds,2024/11/28 05:30:14 000 +05:30 GMT,2024/12/02 16:41:53 000 +05:30 GMT,"P_64_A_043/STM16-1-1-6-13,STM16,NEND,RCV,1-DAY",2024/12/01 05:30:16 000 +05:30 GMT,TP,,QUALITY OF SERVICE,T-UAS-RS-1-DAY,Unavailable Seconds,0.0,fdn:model:fm:HistoricalAlarm:491123195,warning,2,Unavailable Seconds:STM16-1-1-6-13:NULL:OC48_STS48_MS_STM16:NULL
cleared,P_64_A_043,fdn:realm:optics,4992,Unavailable Seconds 1 DAY ,2024/11/29 05:30:08 000 +05:30 GMT,2024/12/02 16:41:53 000 +05:30 GMT,"P_64_A_043/OTUODU4TCT-1-2-5-1-6-BM,ODU4TCM,NEND,RCV,1-DAY",2024/12/01 05:30:08 000 +05:30 GMT,TP,,QUALITY OF SERVICE,T-UAS-TCM-1-DAY,Unavailable Seconds 1 DAY ,0.0,fdn:model:fm:HistoricalAlarm:491123109,warning,3,Unavailable Seconds 1 DAY :OCH-1-2-5-1:/odu4=1:ODU4:NULL
cleared,P_64_A_043,fdn:realm:optics,1896,TCA 1 DAY Unavailable Seconds,2024/12/01 09:05:51 000 +05:30 GMT,2024/12/02 16:41:53 000 +05:30 GMT,"P_64_A_043/ODU4ODU0-1-2-72-601-3,ODU0,NEND,TRMT,1-DAY",2024/12/01 09:05:51 000 +05:30 GMT,TP,,QUALITY OF SERVICE,T-UAS-ODU-1-DAY,TCA 1 DAY Unavailable Seconds,0.0,fdn:model:fm:HistoricalAlarm:491123095,warning,1,TCA 1 DAY Unavailable Seconds:ODU4-1-2-72-601:/odu0=3:ODU0:NULL
cleared,P_64_A_043,fdn:realm:optics,1896,TCA 1 DAY Unavailable Seconds,2024/12/01 09:05:51 000 +05:30 GMT,2024/12/02 16:41:53 000 +05:30 GMT,"P_64_A_043/ODU4ODU0-1-2-72-601-3,ODU0,NEND,RCV,1-DAY",2024/12/01 09:05:51 000 +05:30 GMT,TP,,QUALITY OF SERVICE,T-UAS-ODU-1-DAY,TCA 1 DAY Unavailable Seconds,0.0,fdn:model:fm:HistoricalAlarm:491123071,warning,1,TCA 1 DAY Unavailable Seconds:ODU4-1-2-72-601:/odu0=3:ODU0:NULL
cleared,P_64_A_043,fdn:realm:optics,4992,Unavailable Seconds,2024/11/29 05:30:10 000 +05:30 GMT,2024/12/02 16:41:53 000 +05:30 GMT,"P_64_A_043/STM16-1-2-2-13,STM16,NEND,RCV,1-DAY",2024/12/01 05:30:08 000 +05:30 GMT,TP,,QUALITY OF SERVICE,T-UAS-RS-1-DAY,Unavailable Seconds,0.0,fdn:model:fm:HistoricalAlarm:491123028,warning,3,Unavailable Seconds:STM16-1-2-2-13:NULL:OC48_STS48_MS_STM16:NULL
cleared,P_64_A_043,fdn:realm:optics,4992,Unavailable Seconds,2024/11/29 05:30:10 000 +05:30 GMT,2024/12/02 16:41:53 000 +05:30 GMT,"P_64_A_043/STM16-1-2-16-15,STM16,NEND,RCV,1-DAY",2024/12/01 05:30:08 000 +05:30 GMT,TP,,QUALITY OF SERVICE,T-UAS-RS-1-DAY,Unavailable Seconds,0.0,fdn:model:fm:HistoricalAlarm:491122967,warning,3,Unavailable Seconds:STM16-1-2-16-15:NULL:OC48_STS48_MS_STM16:NULL
cleared,P_64_A_043,fdn:realm:optics,4992,TCA 1 DAY Unavailable Seconds,2024/11/29 05:30:14 000 +05:30 GMT,2024/12/02 16:41:53 000 +05:30 GMT,"P_64_A_043/OTU-1-1-15-1,OTU4,FEND,RCV,1-DAY",2024/12/01 05:30:12 000 +05:30 GMT,TP,,QUALITY OF SERVICE,T-UAS-OTU-1-DAY,TCA 1 DAY Unavailable Seconds,0.0,fdn:model:fm:HistoricalAlarm:491122961,warning,2,TCA 1 DAY Unavailable Seconds:OCH-1-1-15-1:/otu4=1:OTU4:NULL
cleared,P_64_A_043,fdn:realm:optics,4992,Unavailable Seconds,2024/11/29 05:30:14 000 +05:30 GMT,2024/12/02 16:41:53 000 +05:30 GMT,"P_64_A_043/STM16-1-1-6-10,STM16,NEND,RCV,1-DAY",2024/12/01 05:30:14 000 +05:30 GMT,TP,,QUALITY OF SERVICE,T-UAS-RS-1-DAY,Unavailable Seconds,0.0,fdn:model:fm:HistoricalAlarm:491122960,warning,3,Unavailable Seconds:STM16-1-1-6-10:NULL:OC48_STS48_MS_STM16:NULL
cleared,P_64_A_043,fdn:realm:optics,4992,TCA 1 DAY Unavailable Seconds,2024/11/29 05:30:14 000 +05:30 GMT,2024/12/02 16:41:53 000 +05:30 GMT,"P_64_A_043/OTU-1-1-16-1,OTU4,FEND,RCV,1-DAY",2024/12/01 05:30:12 000 +05:30 GMT,TP,,QUALITY OF SERVICE,T-UAS-OTU-1-DAY,TCA 1 DAY Unavailable Seconds,0.0,fdn:model:fm:HistoricalAlarm:491122950,warning,3,TCA 1 DAY Unavailable Seconds:OCH-1-1-16-1:/otu4=1:OTU4:NULL
cleared,P_64_A_043,fdn:realm:optics,4992,Unavailable Seconds,2024/11/29 05:30:14 000 +05:30 GMT,2024/12/02 16:41:53 000 +05:30 GMT,"P_64_A_043/STM16-1-1-6-12,STM16,NEND,RCV,1-DAY",2024/12/01 05:30:14 000 +05:30 GMT,TP,,QUALITY OF SERVICE,T-UAS-RS-1-DAY,Unavailable Seconds,0.0,fdn:model:fm:HistoricalAlarm:491122941,warning,3,Unavailable Seconds:STM16-1-1-6-12:NULL:OC48_STS48_MS_STM16:NULL
cleared,P_64_A_043,fdn:realm:optics,4992,Unavailable Seconds,2024/11/29 05:30:14 000 +05:30 GMT,2024/12/02 16:41:53 000 +05:30 GMT,"P_64_A_043/STM64-1-1-38-5,STM64,NEND,RCV,1-DAY",2024/12/01 05:30:16 000 +05:30 GMT,TP,,QUALITY OF SERVICE,T-UAS-RS-1-DAY,Unavailable Seconds,0.0,fdn:model:fm:HistoricalAlarm:491122881,warning,2,Unavailable Seconds:STM64-1-1-38-5:NULL:OC192_STS192_MS_STM64:NULL
cleared,P_64_A_043,fdn:realm:optics,4992,Unavailable Seconds,2024/11/29 05:30:14 000 +05:30 GMT,2024/12/02 16:41:53 000 +05:30 GMT,"P_64_A_043/STM16-1-1-46-20,STM16,NEND,RCV,1-DAY",2024/12/01 05:30:16 000 +05:30 GMT,TP,,QUALITY OF SERVICE,T-UAS-RS-1-DAY,Unavailable Seconds,0.0,fdn:model:fm:HistoricalAlarm:491122872,warning,2,Unavailable Seconds:STM16-1-1-46-20:NULL:OC48_STS48_MS_STM16:NULL
cleared,P_64_A_043,fdn:realm:optics,4992,TCA 1 DAY Unavailable Seconds,2024/11/29 05:30:08 000 +05:30 GMT,2024/12/02 16:41:53 000 +05:30 GMT,"P_64_A_043/OTU-1-2-45-1,OTU4,NEND,RCV,1-DAY",2024/12/01 05:30:08 000 +05:30 GMT,TP,,QUALITY OF SERVICE,T-UAS-OTU-1-DAY,TCA 1 DAY Unavailable Seconds,0.0,fdn:model:fm:HistoricalAlarm:491122866,warning,3,TCA 1 DAY Unavailable Seconds:OCH-1-2-45-1:/otu4=1:OTU4:NULL
cleared,MNC-FM,fdn:realm:optics,2181,Nominal Unavailable - TP blocked,2024/12/01 04:14:38 000 +05:30 GMT,2024/12/02 16:36:00 000 +05:30 GMT,AESI-P2P-56303-ISP-P-NC ODU4#0Main,2024/12/01 04:14:38 000 +05:30 GMT,ASONTRAIL,,COMMUNICATIONS,Nominal Unavailable - TP blocked,-,,fdn:model:fm:HistoricalAlarm:491119851,warning,1,Nominal Unavailable - TP blocked:NULL:NULL:NULL
cleared,P_24X_A_039,fdn:realm:optics,2181,GMRE ALARM,2024/12/01 04:14:38 000 +05:30 GMT,2024/12/02 16:36:00 000 +05:30 GMT,P_24X_A_039/172.29.241.38\SubnetworkConnection:806,2024/12/01 04:14:38 000 +05:30 GMT,SubNetwork Connection,,COMMUNICATIONS,Nominal unavailable - TP blocked,Nominal unavailable - TP blocked,0.0,fdn:model:fm:HistoricalAlarm:491119848,warning,1,GMRE ALARM:NULL:NULL:Not_Applicable:NULL
cleared,P_24X_A_182,fdn:realm:optics,2246,Open Connection Indication - ODU,2024/12/01 03:09:58 000 +05:30 GMT,2024/12/02 16:35:48 000 +05:30 GMT,"P_24X_A_182/OTUODU4-3-28-4,ODU4,RCV",2024/12/01 03:09:58 000 +05:30 GMT,TP,,COMMUNICATIONS,OCI,Open Connection Indication - ODU,1.0,fdn:model:fm:HistoricalAlarm:491119656,critical,1,Open Connection Indication - ODU:PORT-3-28-4:/och=1-frequency-tunnable/otu=1/odu4=1:ODU4:NULL
cleared,P_24X_A_182,fdn:realm:optics,2246,Open Connection Indication - ODU,2024/12/01 03:09:58 000 +05:30 GMT,2024/12/02 16:35:48 000 +05:30 GMT,"P_24X_A_182/OTUODU4-3-21-4,ODU4,RCV",2024/12/01 03:09:58 000 +05:30 GMT,TP,,COMMUNICATIONS,OCI,Open Connection Indication - ODU,1.0,fdn:model:fm:HistoricalAlarm:491119651,critical,1,Open Connection Indication - ODU:PORT-3-21-4:/och=1-frequency-tunnable/otu=1/odu4=1:ODU4:NULL
cleared,P_M_A_302,fdn:realm:optics,2278,Indicates a ES-OTU Threshold Crossing detection,2024/12/01 02:33:46 000 +05:30 GMT,2024/12/02 16:31:28 000 +05:30 GMT,"P_M_A_302/OTU-1-1-7,OTU4,RCV",2024/12/01 02:33:46 000 +05:30 GMT,TP,,QUALITY OF SERVICE,T-ES-OTU-15-MIN,Indicates a ES-OTU Threshold Crossing detection,0.0,fdn:model:fm:HistoricalAlarm:491115582,warning,1,Indicates a ES-OTU Threshold Crossing detection:OTU-1-1-7:NULL:OTU4:NULL
cleared,P_M_A_036,fdn:realm:optics,2190,Indicates a FE ES-OTU Threshold Crossing detection,2024/12/01 04:01:01 000 +05:30 GMT,2024/12/02 16:31:27 000 +05:30 GMT,"P_M_A_036/OTU-1-1-7,OTU4,RCV",2024/12/01 05:00:51 000 +05:30 GMT,TP,,QUALITY OF SERVICE,T-FEES-OTU-15-MIN,Indicates a FE ES-OTU Threshold Crossing detection,0.0,fdn:model:fm:HistoricalAlarm:491115429,warning,2,Indicates a FE ES-OTU Threshold Crossing detection:OTU-1-1-7:NULL:OTU4:NULL
cleared,MNC-FM,fdn:realm:optics,1732,Nominal Unavailable - TP blocked,2024/12/01 11:33:15 000 +05:30 GMT,2024/12/02 16:25:35 000 +05:30 GMT,APPZ-T1758818_M6-4451484 ODU2#0Main,2024/12/01 11:33:15 000 +05:30 GMT,ASONTRAIL,,COMMUNICATIONS,Nominal Unavailable - TP blocked,-,,fdn:model:fm:HistoricalAlarm:491107101,warning,1,Nominal Unavailable - TP blocked:NULL:NULL:NULL
cleared,P_24X_A_125,fdn:realm:optics,1732,GMRE ALARM,2024/12/01 11:33:15 000 +05:30 GMT,2024/12/02 16:25:35 000 +05:30 GMT,P_24X_A_125/172.29.241.108\SubnetworkConnection:59460,2024/12/01 11:33:15 000 +05:30 GMT,SubNetwork Connection,,COMMUNICATIONS,Nominal unavailable - TP blocked,Nominal unavailable - TP blocked,0.0,fdn:model:fm:HistoricalAlarm:491107100,warning,1,GMRE ALARM:NULL:NULL:Not_Applicable:NULL
cleared,MNC-FM,fdn:realm:optics,2233,SNC Rerouted,2024/12/01 03:12:23 000 +05:30 GMT,2024/12/02 16:25:18 000 +05:30 GMT,AESI-P2P-55941-ISP-P-NC ODU4#0Main,2024/12/01 03:12:23 000 +05:30 GMT,ASONTRAIL,,COMMUNICATIONS,SNC Rerouted,-,,fdn:model:fm:HistoricalAlarm:491106911,warning,1,SNC Rerouted:NULL:NULL:NULL
cleared,MNC-FM,fdn:realm:optics,1733,Nominal Unavailable - TP blocked,2024/12/01 11:30:38 000 +05:30 GMT,2024/12/02 16:23:45 000 +05:30 GMT,AESI-P2P-55813-ISP-P-NC ODU4#0Main,2024/12/01 11:30:38 000 +05:30 GMT,ASONTRAIL,,COMMUNICATIONS,Nominal Unavailable - TP blocked,-,,fdn:model:fm:HistoricalAlarm:491105455,warning,1,Nominal Unavailable - TP blocked:NULL:NULL:NULL
cleared,P_24X_A_078,fdn:realm:optics,1733,GMRE ALARM,2024/12/01 11:30:38 000 +05:30 GMT,2024/12/02 16:23:45 000 +05:30 GMT,P_24X_A_078/172.29.241.72\SubnetworkConnection:4666,2024/12/01 11:30:38 000 +05:30 GMT,SubNetwork Connection,,COMMUNICATIONS,Nominal unavailable - TP blocked,Nominal unavailable - TP blocked,0.0,fdn:model:fm:HistoricalAlarm:491105454,warning,1,GMRE ALARM:NULL:NULL:Not_Applicable:NULL
cleared,MNC-FM,fdn:realm:optics,1728,Nominal Unavailable - TP blocked,2024/12/01 11:33:24 000 +05:30 GMT,2024/12/02 16:21:08 000 +05:30 GMT,HYD_OHA-MUM_CDV-ODU2-EWO-3735195_B2B ODU2#0Main,2024/12/01 11:33:24 000 +05:30 GMT,ASONTRAIL,,COMMUNICATIONS,Nominal Unavailable - TP blocked,-,,fdn:model:fm:HistoricalAlarm:491103400,warning,1,Nominal Unavailable - TP blocked:NULL:NULL:NULL
cleared,P_24X_A_076,fdn:realm:optics,1728,GMRE ALARM,2024/12/01 11:33:24 000 +05:30 GMT,2024/12/02 16:21:08 000 +05:30 GMT,P_24X_A_076/172.29.241.70\SubnetworkConnection:5183,2024/12/01 11:33:24 000 +05:30 GMT,SubNetwork Connection,,COMMUNICATIONS,Nominal unavailable - TP blocked,Nominal unavailable - TP blocked,0.0,fdn:model:fm:HistoricalAlarm:491103399,warning,1,GMRE ALARM:NULL:NULL:Not_Applicable:NULL
